timestamp,level,service,message
2026-08-01T08:00:01Z,INFO,identity-service,Token issued for user u-1042
2026-08-01T08:00:03Z,INFO,cart-api,Cart session created cs-9910
2026-08-01T08:00:05Z,INFO,checkout-service,Order placed ord-5521
2026-08-01T08:01:10Z,WARN,cart-api,Cart session not found cs-9900
2026-08-01T08:01:15Z,ERROR,checkout-service,Payment gateway timeout — retry 1/3
2026-08-01T08:01:20Z,ERROR,checkout-service,Payment gateway timeout — retry 2/3
2026-08-01T08:01:25Z,ERROR,checkout-service,Payment gateway timeout — retry 3/3 FAILED
2026-08-01T08:02:00Z,INFO,identity-service,Token refreshed for user u-2201
2026-08-01T08:02:10Z,WARN,checkout-service,Inventory cache miss for sku-884
2026-08-01T08:02:12Z,ERROR,cart-api,Loyalty token expired lt-0033
2026-08-01T08:03:00Z,INFO,cart-api,Cart updated cs-9915 (+2 items)
2026-08-01T08:03:05Z,INFO,checkout-service,Order placed ord-5522
2026-08-01T08:04:00Z,WARN,identity-service,Rate limit warning — 80% threshold uid-774
2026-08-01T08:04:30Z,ERROR,identity-service,Token validation failed — invalid signature
2026-08-01T08:05:00Z,INFO,cart-api,Cart session created cs-9930
2026-08-01T08:05:15Z,INFO,checkout-service,Order placed ord-5523
2026-08-01T08:06:00Z,WARN,checkout-service,SAP ECC fallback invoked for sku-112
2026-08-01T08:06:10Z,ERROR,checkout-service,SAP BAPI call exceeded 400ms threshold
2026-08-01T08:07:00Z,INFO,identity-service,Token issued for user u-3310
2026-08-01T08:07:20Z,INFO,cart-api,Cart session created cs-9940
